left,right,fdr,span,x,y,H_A,M_A,H_B,M_B,effect_size,CI_lower,CI_upper,p_value,p_adjusted,label
19C,AAW,0.01,1L2R,back,again,231,13130,6,1763,-2.3699383922645705,-3.8334175026985613,-1.2226981625302418,3.7099471587874535e-7,3.5856639289680737e-4,      back again     
19C,AAW,0.01,1L2R,back,an,15,13346,13,1756,2.7192690386395624,1.5253042022058927,3.893462695867246,4.997273650577747e-6,0.0019319459933133571,      back an        
19C,AAW,0.01,1L2R,back,com’d,0,13361,5,1764,Inf,2.793524354118865,Inf,2.1740748013132278e-5,0.005253108238673087,      back com’d     
19C,AAW,0.01,1L2R,back,de,0,13361,6,1763,Inf,3.1557306859418475,Inf,2.5355821153828233e-6,0.0012253200572587494,      back de        
19C,AAW,0.01,1L2R,back,home,4,13357,9,1760,4.093344768343505,2.2504417317808683,6.246388509030723,1.8433234143494208e-6,0.0011877147199791434,      back home      
19C,AAW,0.01,1L2R,back,im,0,13361,5,1764,Inf,2.793524354118865,Inf,2.1740748013132278e-5,0.005253108238673087,      back im        
19C,AAW,0.01,1L2R,back,piazza,0,13361,5,1764,Inf,2.793524354118865,Inf,2.1740748013132278e-5,0.005253108238673087,      back piazza    
19C,AAW,0.01,1L2R,back,yard,0,13361,9,1760,Inf,3.903341459414007,Inf,4.010341879787567e-9,7.751990853629366e-6,      back yard      
19C,AAW,0.01,1L2R,head,red,1,7729,11,878,6.596315389223413,3.810292822196471,11.988656329471379,1.4462420995080108e-10,2.0840348653910437e-7,      head red       
19C,AAW,0.01,1L3R,back,again,248,17549,8,2351,-2.054094346439911,-3.284062663508303,-1.050557575410927,1.1479043489662375e-6,0.0011119366793652954,      back again     
19C,AAW,0.01,1L3R,back,an,23,17774,15,2344,2.3058899372551247,1.2604413350296633,3.308761904941663,1.1213537110964358e-5,0.004655219834923204,      back an        
19C,AAW,0.01,1L3R,back,com’d,0,17797,5,2354,Inf,2.7912984576529287,Inf,2.1877175762702634e-5,0.005779552069673987,      back com’d     
